[DEBUG-VA-CONT] Hybrid Logic (V_FILTER=0.01, V_READ_TH=0.6)
VALID t=2.180000e-07 V=+0.500000 | gate_W=0.1192 | r_ref=+139.6767 | R=1.000825e+04 I=4.9994e-05
VALID t=2.190000e-07 V=+0.500000 | gate_W=0.1192 | r_ref=+142.8598 | R=1.009679e+04 I=4.9547e-05
VALID t=2.200000e-07 V=+0.500000 | gate_W=0.1192 | r_ref=+145.6635 | R=1.017477e+04 I=4.9161e-05
VALID t=2.210000e-07 V=+0.500000 | gate_W=0.1192 | r_ref=+148.1330 | R=1.024346e+04 I=4.8827e-05
VALID t=2.220000e-07 V=+0.500000 | gate_W=0.1192 | r_ref=+150.3081 | R=1.030396e+04 I=4.8537e-05
VALID t=2.230000e-07 V=+0.500000 | gate_W=0.1192 | r_ref=+152.2240 | R=1.035725e+04 I=4.8285e-05
VALID t=2.240000e-07 V=+0.500000 | gate_W=0.1192 | r_ref=+153.9114 | R=1.040419e+04 I=4.8065e-05
VALID t=2.250000e-07 V=+0.500000 | gate_W=0.1192 | r_ref=+155.3978 | R=1.044553e+04 I=4.7873e-05
VALID t=2.260000e-07 V=+0.500000 | gate_W=0.1192 | r_ref=+156.7069 | R=1.048194e+04 I=4.7705e-05
VALID t=2.270000e-07 V=+0.500000 | gate_W=0.1192 | r_ref=+157.8600 | R=1.051402e+04 I=4.7559e-05
VALID t=2.280000e-07 V=+0.500000 | gate_W=0.1192 | r_ref=+158.8756 | R=1.054227e+04 I=4.7431e-05
VALID t=2.290000e-07 V=+0.500000 | gate_W=0.1192 | r_ref=+159.7702 | R=1.056715e+04 I=4.7318e-05
VALID t=2.300000e-07 V=+0.500000 | gate_W=0.1192 | r_ref=+160.5582 | R=1.058907e+04 I=4.7220e-05
VALID t=2.310000e-07 V=+0.500000 | gate_W=0.1192 | r_ref=+161.2522 | R=1.060837e+04 I=4.7134e-05
VALID t=2.320000e-07 V=+0.500000 | gate_W=0.1192 | r_ref=+161.8635 | R=1.062537e+04 I=4.7058e-05
VALID t=2.330000e-07 V=+0.500000 | gate_W=0.1192 | r_ref=+162.4019 | R=1.064035e+04 I=4.6992e-05
VALID t=2.340000e-07 V=+0.500000 | gate_W=0.1192 | r_ref=+162.8761 | R=1.065354e+04 I=4.6933e-05
VALID t=2.350000e-07 V=+0.500000 | gate_W=0.1192 | r_ref=+163.2938 | R=1.066516e+04 I=4.6882e-05
VALID t=2.360000e-07 V=+0.500000 | gate_W=0.1192 | r_ref=+163.6617 | R=1.067539e+04 I=4.6837e-05
VALID t=2.370000e-07 V=+0.500000 | gate_W=0.1192 | r_ref=+163.9858 | R=1.068441e+04 I=4.6797e-05
VALID t=2.380000e-07 V=+0.500000 | gate_W=0.1192 | r_ref=+164.2712 | R=1.069235e+04 I=4.6763e-05
VALID t=2.390000e-07 V=+0.500000 | gate_W=0.1192 | r_ref=+164.5226 | R=1.069934e+04 I=4.6732e-05
VALID t=2.400000e-07 V=+0.500000 | gate_W=0.1192 | r_ref=+164.7441 | R=1.070550e+04 I=4.6705e-05
VALID t=2.410000e-07 V=+0.450000 | gate_W=0.0474 | r_ref=+158.8774 | R=1.057586e+04 I=4.2718e-05
VALID t=2.420000e-07 V=+0.400000 | gate_W=0.0180 | r_ref=+156.9352 | R=1.053519e+04 I=3.8007e-05
VALID t=2.430000e-07 V=+0.350000 | gate_W=0.0067 | r_ref=+156.2886 | R=1.052212e+04 I=3.3273e-05
VALID t=2.440000e-07 V=+0.300000 | gate_W=0.0025 | r_ref=+156.0737 | R=1.051785e+04 I=2.8525e-05
VALID t=2.450000e-07 V=+0.250000 | gate_W=0.0009 | r_ref=+156.0025 | R=1.051644e+04 I=2.3773e-05
VALID t=2.460000e-07 V=+0.200000 | gate_W=0.0003 | r_ref=+155.9791 | R=1.051597e+04 I=1.9019e-05
VALID t=2.470000e-07 V=+0.150000 | gate_W=0.0001 | r_ref=+155.9715 | R=1.051582e+04 I=1.4264e-05
VALID t=2.480000e-07 V=+0.100000 | gate_W=0.0000 | r_ref=+155.9690 | R=1.051576e+04 I=9.5095e-06
VALID t=2.490000e-07 V=+0.050000 | gate_W=0.0000 | r_ref=+155.9682 | R=1.051575e+04 I=4.7548e-06
